"Source:","D:\ASUS\Documents\HW_1_EMBEDDED SYSTEM_LAM HOANG NHAT_2151238\HW_1_EMBEDDED SYSTEM_LAM HOANG NHAT_2151238.kicad_sch"
"Date:","1/14/2024 2:51:18 PM"
"Tool:","Eeschema 7.0.10"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","17"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"A1","1","Arduino_UNO_R2","Arduino_UNO_R2","Module:Arduino_UNO_R2","Arduino UNO Microcontroller Module, release 2","",""
"D1, D2, D3, D4, D5, D6, D7, D8","8","LED","LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","Light emitting diode","",""
"R1, R2, R3, R4, R5, R6, R7, R8","8","247","R_Small","Resistor_SMD:R_0603_1608Metric","Resistor, small symbol","",""
